us_state,county,days_with_aqi2019,good_days2019,moderate_days2019,unhealthy_sensitive_days2019,unhealthy_days2019,very_unhealthy_days2019,hazardous_days2019,days_co2019,days_no2_2019,days_ozone2019,days_so2_2019,days_pm2_2019,days_pm10_2019,poverty_estimate2019,poverty_percentage2019,days_with_aqi2018,good_days2018,moderate_days2018,unhealthy_sensitive_days2018,unhealthy_days2018,very_unhealthy_days2018,hazardous_days2018,days_co2018,days_no2_2018,days_ozone2018,days_so2_2018,days_pm2_2018,days_pm10_2018,poverty_estimate2018,poverty_percentage2018,days_with_aqi2017,good_days2017,moderate_days2017,unhealthy_sensitive_days2017,unhealthy_days2017,very_unhealthy_days2017,hazardous_days2017,days_co2017,days_no2_2017,days_ozone2017,days_so2_2017,days_pm2_2017,days_pm10_2017,poverty_estimate2017,poverty_percentage2017,days_with_aqi2016,good_days2016,moderate_days2016,unhealthy_sensitive_days2016,unhealthy_days2016,very_unhealthy_days2016,hazardous_days2016,days_co2016,days_no2_2016,days_ozone2016,days_so2_2016,days_pm2_2016,days_pm10_2016,poverty_estimate2016,poverty_percentage2016
AL,Baldwin,271,237,34,0,0,0,0,0,0,220,0,51,0,22360.0,10.1,270.0,245.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,56.0,0.0,21069.0,9.8,270.0,241.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,64.0,0.0,21199.0,10.1,279.0,247.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,58.0,0.0,24005.0,11.7
AL,Clay,107,97,10,0,0,0,0,0,0,0,0,107,0,2156.0,16.6,110.0,103.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,2285.0,17.6,118.0,104.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,2363.0,18.1,116.0,109.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,2495.0,18.9
AL,Colbert,263,252,11,0,0,0,0,0,0,228,0,35,0,7998.0,14.6,277.0,251.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,68.0,0.0,7459.0,13.8,283.0,265.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,65.0,0.0,8324.0,15.4,282.0,258.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,63.0,0.0,8982.0,16.7
AL,DeKalb,361,324,37,0,0,0,0,0,0,331,0,30,0,12848.0,18.2,350.0,316.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0,33.0,0.0,14975.0,21.3,359.0,329.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,44.0,0.0,13785.0,19.5,348.0,304.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,27.0,0.0,14362.0,20.5
AL,Elmore,228,208,20,0,0,0,0,0,0,228,0,0,0,8753.0,11.4,222.0,203.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,8559.0,11.2,226.0,221.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,9151.0,12.01,117.0,107.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,10316.0,13.5
AL,Etowah,279,232,47,0,0,0,0,0,0,218,0,61,0,18801.0,18.8,324.0,231.0,92.0,0.0,1.0,0.0,0.0,0.0,0.0,179.0,0.0,145.0,0.0,17509.0,17.5,360.0,233.0,125.0,1.0,1.0,0.0,0.0,0.0,0.0,133.0,0.0,227.0,0.0,18257.0,18.1,352.0,162.0,184.0,3.0,3.0,0.0,0.0,0.0,0.0,104.0,0.0,248.0,0.0,17624.0,17.5
AL,Houston,280,256,24,0,0,0,0,0,0,208,0,72,0,20207.0,19.4,277.0,249.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,66.0,0.0,17032.0,16.5,281.0,260.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,78.0,0.0,17095.0,16.6,280.0,265.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,59.0,0.0,19878.0,19.4
AL,Jefferson,365,157,195,13,0,0,0,0,2,122,4,236,1,104288.0,16.2,365.0,176.0,184.0,4.0,1.0,0.0,0.0,0.0,1.0,100.0,32.0,228.0,4.0,103604.0,16.1,365.0,144.0,212.0,9.0,0.0,0.0,0.0,0.0,2.0,85.0,70.0,207.0,1.0,107752.0,16.7,366.0,191.0,166.0,8.0,1.0,0.0,0.0,0.0,16.0,147.0,1.0,199.0,3.0,98463.0,15.3
AL,Lawrence,112,111,1,0,0,0,0,0,0,0,0,112,0,5773.0,17.7,118.0,112.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,6297.0,19.3,122.0,114.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,5494.0,16.8,118.0,116.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,5530.0,16.8
AL,Madison,361,255,106,0,0,0,0,0,0,155,0,199,7,41789.0,11.5,365.0,275.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,234.0,1.0,42667.0,11.9,335.0,301.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,49.0,56.0,44979.0,12.8,333.0,280.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,34.0,64.0,47081.0,13.5
