data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
Alabama,Baldwin,12/31/2016,279,247,32,0,0,0,0,87,51,37,0,0,221,0,58,0
Alabama,Clay,12/31/2016,116,109,7,0,0,0,0,56,45,30,0,0,0,0,116,0
Alabama,Colbert,12/31/2016,282,258,23,1,0,0,0,115,50,38,0,0,219,0,63,0
Alabama,DeKalb,12/31/2016,348,304,43,1,0,0,0,119,54,40,0,0,321,0,27,0
Alabama,Elmore,12/31/2016,117,107,10,0,0,0,0,77,48,40,0,0,117,0,0,0
Alabama,Etowah,12/31/2016,352,162,184,3,3,0,0,179,67,52,0,0,104,0,248,0
Alabama,Houston,12/31/2016,280,265,15,0,0,0,0,97,48,35,0,0,221,0,59,0
Alabama,Jefferson,12/31/2016,366,191,166,8,1,0,0,151,77,49,0,16,147,1,199,3
Alabama,Lawrence,12/31/2016,118,116,1,1,0,0,0,105,40,25,0,0,0,0,118,0
Alabama,Madison,12/31/2016,333,280,52,1,0,0,0,122,55,40,0,0,235,0,34,64
Alabama,Mobile,12/31/2016,366,277,87,2,0,0,0,139,58,41,0,0,138,9,219,0
Alabama,Montgomery,12/31/2016,363,285,76,1,1,0,0,170,58,42,0,0,175,0,188,0
Alabama,Morgan,12/31/2016,365,304,59,2,0,0,0,107,55,40,0,0,214,0,151,0
Alabama,Russell,12/31/2016,257,192,65,0,0,0,0,100,61,43,0,0,176,0,81,0
Alabama,Shelby,12/31/2016,244,205,35,4,0,0,0,133,61,41,0,0,244,0,0,0
Alabama,Sumter,12/31/2016,336,315,21,0,0,0,0,70,47,34,0,0,185,0,151,0
Alabama,Talladega,12/31/2016,117,99,18,0,0,0,0,79,52,35,0,0,0,0,117,0
Alabama,Tuscaloosa,12/31/2016,365,224,141,0,0,0,0,100,59,47,0,0,93,0,272,0
Alaska,Aleutians East ,12/31/2016,119,118,1,0,0,0,0,53,18,8,0,0,0,0,119,0
Alaska,Anchorage ,12/31/2016,361,288,73,0,0,0,0,90,59,31,0,0,0,0,214,147
Alaska,Denali ,12/31/2016,358,357,1,0,0,0,0,54,41,33,0,0,354,0,4,0
Alaska,Fairbanks North Star ,12/31/2016,366,218,92,33,23,0,0,180,121,37,0,4,136,2,209,15
Alaska,Juneau ,12/31/2016,305,255,50,0,0,0,0,89,58,20,0,0,0,0,297,8
Alaska,Kenai Peninsula ,12/31/2016,122,122,0,0,0,0,0,25,14,7,0,0,0,0,122,0
Alaska,Matanuska-Susitna ,12/31/2016,366,299,63,4,0,0,0,128,59,33,0,0,250,0,88,28
Arizona,Apache,12/31/2016,366,364,2,0,0,0,0,54,24,13,0,0,0,0,33,333
Arizona,Cochise,12/31/2016,366,281,83,2,0,0,0,141,61,44,0,0,323,0,3,40
Arizona,Coconino,12/31/2016,366,301,65,0,0,0,0,97,58,44,0,0,363,0,3,0
Arizona,Gila,12/31/2016,366,84,136,119,27,0,0,200,138,85,0,0,82,263,0,21
Arizona,La Paz,12/31/2016,365,294,70,1,0,0,0,101,67,41,0,1,291,3,34,36
Arizona,Maricopa,12/31/2016,366,59,270,36,0,1,0,203,101,64,0,33,186,0,74,73
